substrate,power,calibration,baked,bake time,sample number,pressure,mtime,burn quality,DW,filePath,CW,cell number
273,unknown,false,baked,12h,1,unknown,1382999449.6950855,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/102813-1.jy,unknown,102813
273,unknown,false,baked,12h,2,unknown,1383003603.8795698,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/102813-2.jy,unknown,102813
273,unknown,false,baked,12h,1,unknown,1383067347.9144883,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/102913-1.jy,unknown,102913
271,unknown,false,baked,12h,1,unknown,1383177472.5537918,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/103013-1.jy,unknown,103013
277,unknown,false,baked,12h,1,unknown,1383239320.6094363,N/A,unknown,Y:/Characterization/GDOES/TCO/S00277/103113-1.jy,unknown,103113
285,unknown,false,baked,12h,1,unknown,1383762039.4061375,N/A,unknown,Y:/Characterization/GDOES/TCO/S00285/110613-1.jy,unknown,110613
280,unknown,false,baked,12h,1,unknown,1383868806.7845743,N/A,unknown,Y:/Characterization/GDOES/TCO/S00280/110713-1.jy,unknown,110713
282,unknown,false,baked,12h,1,unknown,1383933575.6757665,N/A,unknown,Y:/Characterization/GDOES/TCO/S00282/110813-1.jy,unknown,110813
273,unknown,false,baked,12h,2,unknown,1382732826.5990806,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/131025-2-------00001.jy,unknown,131025
273,unknown,false,baked,12h,2,unknown,1382733399.4476867,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/131025-2-------00002.jy,unknown,131025
273,unknown,false,baked,12h,2,unknown,1382732691.7056437,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/131025-2.jy,unknown,131025
273,unknown,false,baked,12h,3,unknown,1382735745.6793957,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/131025-3-------00001.jy,unknown,131025
273,unknown,false,baked,12h,3,unknown,1382736328.0284185,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/131025-3-------00002.jy,unknown,131025
273,unknown,false,baked,12h,3,unknown,1382735656.2132385,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/131025-3.jy,unknown,131025
273,unknown,false,baked,12h,8,unknown,1382720082.0811446,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-02/131025-8-1000-1.jy,unknown,131025
273,unknown,false,baked,12h,8,unknown,1382736872.4537747,N/A,unknown,Y:/Characterization/GDOES/TCO/S00273\S273-04/131025-8-1000-2.jy,unknown,131025
265,unknown,false,baked,12h,N/A,unknown,1380934302.5446775,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/265L0.jy,unknown,unknown
265,unknown,false,baked,12h,N/A,unknown,1380934412.6247537,N/A,unknown,Y:/Characterization/GDOES/TCO/S00265L/265L1.jy,unknown,unknown
271,unknown,false,baked,12h,2,unknown,1387331700.3943198,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/863931-2.jy,unknown,863931
271,unknown,false,baked,12h,3,unknown,1387332382.9735186,N/A,unknown,Y:/Characterization/GDOES/TCO/S00271/863931-3.jy,unknown,863931
